id,true_label,blip2
0,entailment,entailment
1,entailment,entailment
2,entailment,entailment
3,entailment,entailment
4,entailment,entailment
5,entailment,contradiction
6,entailment,contradiction
7,entailment,contradiction
8,entailment,contradiction
9,entailment,contradiction
10,entailment,contradiction
11,entailment,contradiction
12,entailment,contradiction
13,entailment,contradiction
14,entailment,contradiction
15,entailment,contradiction
16,entailment,contradiction
17,entailment,contradiction
18,entailment,contradiction
19,entailment,contradiction
20,entailment,contradiction
21,entailment,contradiction
22,entailment,contradiction
23,entailment,contradiction
24,entailment,contradiction
25,entailment,contradiction
26,entailment,contradiction
27,entailment,entailment
28,entailment,contradiction
29,entailment,contradiction
30,entailment,contradiction
31,entailment,entailment
32,entailment,entailment
33,entailment,entailment
34,entailment,entailment
35,entailment,entailment
36,entailment,contradiction
37,entailment,entailment
38,entailment,contradiction
39,entailment,contradiction
40,entailment,entailment
41,entailment,entailment
42,entailment,entailment
43,entailment,entailment
44,entailment,contradiction
45,entailment,contradiction
46,entailment,entailment
47,entailment,contradiction
48,entailment,contradiction
49,entailment,contradiction
50,entailment,contradiction
51,entailment,entailment
52,entailment,entailment
53,entailment,contradiction
54,entailment,contradiction
55,entailment,entailment
56,entailment,entailment
57,entailment,contradiction
58,entailment,entailment
59,entailment,contradiction
60,entailment,entailment
61,entailment,entailment
62,entailment,contradiction
63,entailment,contradiction
64,entailment,entailment
65,entailment,contradiction
66,entailment,contradiction
67,entailment,contradiction
68,entailment,entailment
69,entailment,contradiction
70,entailment,contradiction
71,entailment,contradiction
72,entailment,contradiction
73,entailment,contradiction
74,entailment,contradiction
75,entailment,contradiction
76,entailment,contradiction
77,entailment,contradiction
78,entailment,contradiction
79,entailment,contradiction
80,entailment,contradiction
81,entailment,entailment
82,entailment,contradiction
83,entailment,contradiction
84,entailment,contradiction
85,entailment,contradiction
86,entailment,contradiction
87,entailment,contradiction
88,entailment,contradiction
89,entailment,contradiction
90,entailment,entailment
91,entailment,entailment
92,entailment,contradiction
93,entailment,contradiction
94,entailment,contradiction
95,entailment,contradiction
96,entailment,contradiction
97,entailment,contradiction
98,entailment,contradiction
99,entailment,contradiction
100,entailment,contradiction
101,entailment,contradiction
102,entailment,entailment
103,entailment,contradiction
104,entailment,entailment
105,entailment,contradiction
106,entailment,contradiction
107,entailment,contradiction
108,entailment,contradiction
109,entailment,entailment
110,entailment,contradiction
111,entailment,contradiction
112,entailment,contradiction
113,entailment,contradiction
114,entailment,contradiction
115,entailment,contradiction
116,entailment,entailment
117,entailment,contradiction
118,entailment,entailment
119,entailment,contradiction
120,entailment,entailment
121,entailment,entailment
122,entailment,entailment
123,entailment,contradiction
124,entailment,contradiction
125,entailment,entailment
126,entailment,contradiction
127,entailment,contradiction
128,entailment,contradiction
129,entailment,contradiction
130,entailment,contradiction
131,entailment,entailment
132,entailment,entailment
133,entailment,entailment
134,entailment,contradiction
135,entailment,entailment
136,entailment,entailment
137,entailment,contradiction
138,entailment,contradiction
139,entailment,contradiction
140,entailment,contradiction
141,entailment,contradiction
142,entailment,entailment
143,entailment,entailment
144,entailment,contradiction
145,entailment,entailment
146,entailment,entailment
147,entailment,entailment
148,entailment,contradiction
149,entailment,contradiction
150,entailment,contradiction
151,entailment,entailment
152,entailment,entailment
153,entailment,contradiction
154,entailment,contradiction
155,entailment,contradiction
156,entailment,contradiction
157,entailment,entailment
158,entailment,contradiction
159,entailment,entailment
160,entailment,contradiction
161,entailment,contradiction
162,entailment,entailment
163,entailment,contradiction
164,entailment,entailment
165,entailment,contradiction
166,entailment,entailment
167,entailment,entailment
168,entailment,contradiction
169,entailment,contradiction
170,entailment,contradiction
171,entailment,contradiction
172,entailment,contradiction
173,entailment,contradiction
174,entailment,contradiction
175,entailment,contradiction
176,entailment,contradiction
177,entailment,entailment
178,entailment,contradiction
179,entailment,contradiction
180,entailment,contradiction
181,entailment,contradiction
182,entailment,contradiction
183,entailment,contradiction
184,entailment,contradiction
185,entailment,contradiction
186,entailment,contradiction
187,entailment,contradiction
188,entailment,entailment
189,entailment,contradiction
190,entailment,contradiction
191,entailment,contradiction
192,entailment,contradiction
193,entailment,contradiction
194,entailment,contradiction
195,entailment,contradiction
196,entailment,contradiction
197,entailment,contradiction
198,entailment,contradiction
199,entailment,contradiction
200,entailment,contradiction
201,entailment,contradiction
202,entailment,contradiction
203,entailment,entailment
204,entailment,contradiction
205,entailment,contradiction
206,entailment,contradiction
207,entailment,entailment
208,entailment,contradiction
209,entailment,contradiction
210,entailment,contradiction
211,entailment,contradiction
212,entailment,contradiction
213,entailment,contradiction
214,entailment,contradiction
215,entailment,contradiction
216,entailment,contradiction
217,entailment,entailment
218,entailment,contradiction
219,entailment,entailment
220,entailment,contradiction
221,entailment,contradiction
222,entailment,contradiction
223,entailment,contradiction
224,entailment,contradiction
225,entailment,entailment
226,entailment,entailment
227,entailment,entailment
228,entailment,entailment
229,entailment,entailment
230,entailment,contradiction
231,entailment,contradiction
232,entailment,entailment
233,entailment,entailment
234,entailment,contradiction
235,entailment,contradiction
236,entailment,contradiction
237,entailment,contradiction
238,entailment,contradiction
239,entailment,contradiction
240,entailment,contradiction
241,entailment,entailment
242,entailment,contradiction
243,entailment,contradiction
244,entailment,contradiction
245,entailment,contradiction
246,entailment,contradiction
247,entailment,contradiction
248,entailment,contradiction
249,entailment,contradiction
250,entailment,contradiction
251,entailment,contradiction
252,entailment,contradiction
253,entailment,contradiction
254,entailment,contradiction
255,entailment,contradiction
256,entailment,contradiction
257,entailment,contradiction
258,entailment,contradiction
259,entailment,contradiction
260,entailment,entailment
261,entailment,contradiction
262,entailment,contradiction
263,entailment,contradiction
264,entailment,contradiction
265,entailment,contradiction
266,entailment,contradiction
267,entailment,contradiction
268,entailment,contradiction
269,entailment,contradiction
270,entailment,contradiction
271,entailment,contradiction
272,entailment,entailment
273,entailment,entailment
274,entailment,entailment
275,entailment,contradiction
276,entailment,entailment
277,entailment,entailment
278,entailment,contradiction
279,entailment,entailment
280,entailment,contradiction
281,entailment,entailment
282,entailment,contradiction
283,entailment,contradiction
284,entailment,entailment
285,entailment,contradiction
286,entailment,contradiction
287,entailment,contradiction
288,entailment,contradiction
289,entailment,contradiction
290,entailment,entailment
291,entailment,contradiction
292,entailment,contradiction
293,entailment,contradiction
294,entailment,contradiction
295,entailment,contradiction
296,entailment,entailment
297,entailment,contradiction
298,entailment,contradiction
299,entailment,contradiction
300,entailment,contradiction
301,entailment,contradiction
302,entailment,entailment
303,entailment,contradiction
304,entailment,contradiction
305,entailment,contradiction
306,entailment,contradiction
307,entailment,contradiction
308,entailment,contradiction
309,entailment,contradiction
310,entailment,contradiction
311,entailment,contradiction
312,entailment,contradiction
313,entailment,entailment
314,entailment,entailment
315,entailment,contradiction
316,entailment,contradiction
317,entailment,contradiction
318,entailment,entailment
319,entailment,contradiction
320,entailment,entailment
321,entailment,contradiction
322,entailment,contradiction
323,entailment,contradiction
324,entailment,contradiction
325,entailment,contradiction
326,entailment,contradiction
327,entailment,contradiction
328,entailment,contradiction
329,entailment,contradiction
330,entailment,contradiction
331,entailment,contradiction
332,entailment,contradiction
333,entailment,contradiction
334,entailment,contradiction
335,entailment,contradiction
336,entailment,contradiction
337,entailment,contradiction
338,entailment,entailment
339,entailment,contradiction
340,entailment,contradiction
341,entailment,entailment
342,entailment,entailment
343,entailment,entailment
344,entailment,entailment
345,entailment,entailment
346,entailment,entailment
347,entailment,contradiction
348,entailment,contradiction
349,entailment,contradiction
350,entailment,contradiction
351,entailment,contradiction
352,entailment,contradiction
353,entailment,contradiction
354,entailment,contradiction
355,entailment,contradiction
356,entailment,entailment
357,entailment,contradiction
358,entailment,contradiction
359,entailment,entailment
360,entailment,contradiction
361,entailment,contradiction
362,entailment,entailment
363,entailment,contradiction
364,entailment,contradiction
