id,true_label,llava
0,entailment,entailment
1,entailment,entailment
2,entailment,entailment
3,entailment,entailment
4,entailment,entailment
5,entailment,entailment
6,entailment,entailment
7,entailment,entailment
8,entailment,entailment
9,entailment,entailment
10,entailment,entailment
11,entailment,entailment
12,entailment,entailment
13,entailment,entailment
14,entailment,entailment
15,entailment,entailment
16,entailment,entailment
17,entailment,entailment
18,entailment,entailment
19,entailment,entailment
20,entailment,entailment
21,entailment,entailment
22,entailment,entailment
23,entailment,entailment
24,entailment,entailment
25,entailment,entailment
26,entailment,entailment
27,entailment,entailment
28,entailment,entailment
29,entailment,entailment
30,entailment,contradiction
31,entailment,entailment
32,entailment,entailment
33,entailment,entailment
34,entailment,entailment
35,entailment,entailment
36,entailment,entailment
37,entailment,entailment
38,entailment,entailment
39,entailment,entailment
40,entailment,entailment
41,entailment,entailment
42,entailment,entailment
43,entailment,entailment
44,entailment,entailment
45,entailment,entailment
46,entailment,entailment
47,entailment,entailment
48,entailment,entailment
49,entailment,entailment
50,entailment,entailment
51,entailment,entailment
52,entailment,entailment
53,entailment,entailment
54,entailment,entailment
55,entailment,entailment
56,entailment,entailment
57,entailment,entailment
58,entailment,entailment
59,entailment,entailment
60,entailment,entailment
61,entailment,entailment
62,entailment,entailment
63,entailment,entailment
64,entailment,entailment
65,entailment,entailment
66,entailment,entailment
67,entailment,entailment
68,entailment,entailment
69,entailment,entailment
70,entailment,entailment
71,entailment,entailment
72,entailment,entailment
73,entailment,entailment
74,entailment,entailment
75,entailment,entailment
76,entailment,entailment
77,entailment,entailment
78,entailment,entailment
79,entailment,entailment
80,entailment,entailment
81,entailment,entailment
82,entailment,entailment
83,entailment,entailment
84,entailment,entailment
85,entailment,entailment
86,entailment,entailment
87,entailment,entailment
88,entailment,entailment
89,entailment,entailment
90,entailment,entailment
91,entailment,entailment
92,entailment,entailment
93,entailment,entailment
94,entailment,entailment
95,entailment,entailment
96,entailment,entailment
97,entailment,entailment
98,entailment,entailment
99,entailment,entailment
100,entailment,entailment
101,entailment,entailment
102,entailment,entailment
103,entailment,contradiction
104,entailment,entailment
105,entailment,contradiction
106,entailment,entailment
107,entailment,entailment
108,entailment,entailment
109,entailment,entailment
110,entailment,entailment
111,entailment,entailment
112,entailment,entailment
113,entailment,contradiction
114,entailment,entailment
115,entailment,entailment
116,entailment,entailment
117,entailment,entailment
118,entailment,entailment
119,entailment,entailment
120,entailment,entailment
121,entailment,entailment
122,entailment,entailment
123,entailment,entailment
124,entailment,entailment
125,entailment,entailment
126,entailment,entailment
127,entailment,entailment
128,entailment,entailment
129,entailment,entailment
130,entailment,entailment
131,entailment,contradiction
132,entailment,entailment
133,entailment,entailment
134,entailment,entailment
135,entailment,entailment
136,entailment,entailment
137,entailment,entailment
138,entailment,entailment
139,entailment,entailment
140,entailment,entailment
141,entailment,entailment
142,entailment,entailment
143,entailment,entailment
144,entailment,entailment
145,entailment,entailment
146,entailment,entailment
147,entailment,entailment
148,entailment,entailment
149,entailment,entailment
150,entailment,entailment
151,entailment,entailment
152,entailment,entailment
153,entailment,entailment
154,entailment,entailment
155,entailment,entailment
156,entailment,entailment
157,entailment,entailment
158,entailment,entailment
159,entailment,entailment
160,entailment,entailment
161,entailment,contradiction
162,entailment,entailment
163,entailment,entailment
164,entailment,entailment
165,entailment,entailment
166,entailment,entailment
167,entailment,contradiction
168,entailment,entailment
169,entailment,entailment
170,entailment,contradiction
171,entailment,contradiction
172,entailment,entailment
173,entailment,entailment
174,entailment,entailment
175,entailment,entailment
176,entailment,entailment
177,entailment,entailment
178,entailment,entailment
179,entailment,contradiction
180,entailment,entailment
181,entailment,entailment
182,entailment,entailment
183,entailment,entailment
184,entailment,contradiction
185,entailment,entailment
186,entailment,entailment
187,entailment,entailment
188,entailment,entailment
189,entailment,entailment
190,entailment,entailment
191,entailment,entailment
192,entailment,entailment
193,entailment,entailment
194,entailment,entailment
195,entailment,entailment
196,entailment,entailment
197,entailment,entailment
198,entailment,entailment
199,entailment,entailment
200,entailment,entailment
201,entailment,entailment
202,entailment,entailment
203,entailment,contradiction
204,entailment,entailment
205,entailment,entailment
206,entailment,entailment
207,entailment,entailment
208,entailment,entailment
209,entailment,entailment
210,entailment,entailment
211,entailment,contradiction
212,entailment,entailment
213,entailment,entailment
214,entailment,entailment
215,entailment,entailment
216,entailment,entailment
217,entailment,entailment
218,entailment,contradiction
219,entailment,entailment
220,entailment,entailment
221,entailment,entailment
222,entailment,entailment
223,entailment,entailment
224,entailment,entailment
225,entailment,entailment
226,entailment,entailment
227,entailment,entailment
228,entailment,entailment
229,entailment,entailment
230,entailment,entailment
231,entailment,entailment
232,entailment,entailment
233,entailment,entailment
234,entailment,entailment
235,entailment,entailment
236,entailment,entailment
237,entailment,entailment
238,entailment,entailment
239,entailment,entailment
240,entailment,entailment
241,entailment,contradiction
242,entailment,entailment
243,entailment,contradiction
244,entailment,entailment
245,entailment,contradiction
246,entailment,contradiction
247,entailment,entailment
248,entailment,entailment
249,entailment,entailment
250,entailment,entailment
251,entailment,entailment
252,entailment,entailment
253,entailment,entailment
254,entailment,entailment
255,entailment,entailment
256,entailment,entailment
257,entailment,entailment
258,entailment,entailment
259,entailment,entailment
260,entailment,entailment
261,entailment,entailment
262,entailment,entailment
263,entailment,entailment
264,entailment,entailment
265,entailment,entailment
266,entailment,entailment
267,entailment,entailment
268,entailment,entailment
269,entailment,entailment
270,entailment,entailment
271,entailment,entailment
272,entailment,entailment
273,entailment,entailment
274,entailment,entailment
275,entailment,entailment
276,entailment,entailment
277,entailment,entailment
278,entailment,entailment
279,entailment,entailment
280,entailment,entailment
281,entailment,entailment
282,entailment,entailment
283,entailment,entailment
284,entailment,entailment
285,entailment,entailment
286,entailment,entailment
287,entailment,entailment
288,entailment,entailment
289,entailment,entailment
290,entailment,entailment
291,entailment,entailment
292,entailment,entailment
293,entailment,entailment
294,entailment,entailment
295,entailment,contradiction
296,entailment,entailment
297,entailment,entailment
298,entailment,entailment
299,entailment,entailment
300,entailment,entailment
301,entailment,entailment
302,entailment,entailment
303,entailment,entailment
304,entailment,entailment
305,entailment,entailment
306,entailment,entailment
307,entailment,entailment
308,entailment,entailment
309,entailment,entailment
310,entailment,entailment
311,entailment,entailment
312,entailment,entailment
313,entailment,entailment
314,entailment,entailment
315,entailment,entailment
316,entailment,entailment
317,entailment,entailment
318,entailment,entailment
319,entailment,entailment
320,entailment,entailment
321,entailment,entailment
322,entailment,entailment
323,entailment,entailment
324,entailment,entailment
325,entailment,entailment
326,entailment,entailment
327,entailment,entailment
328,entailment,entailment
329,entailment,entailment
330,entailment,entailment
331,entailment,entailment
332,entailment,entailment
333,entailment,entailment
334,entailment,entailment
335,entailment,entailment
336,entailment,contradiction
337,entailment,contradiction
338,entailment,entailment
339,entailment,entailment
340,entailment,entailment
341,entailment,contradiction
342,entailment,entailment
343,entailment,entailment
344,entailment,entailment
345,entailment,entailment
346,entailment,entailment
347,entailment,entailment
348,entailment,entailment
349,entailment,entailment
350,entailment,entailment
351,entailment,entailment
352,entailment,entailment
353,entailment,entailment
354,entailment,entailment
355,entailment,entailment
356,entailment,entailment
357,entailment,entailment
358,entailment,entailment
359,entailment,entailment
360,entailment,entailment
361,entailment,entailment
362,entailment,entailment
363,entailment,entailment
364,entailment,entailment
365,entailment,entailment
366,entailment,entailment
367,entailment,entailment
368,entailment,entailment
369,entailment,entailment
370,entailment,entailment
371,entailment,entailment
372,entailment,entailment
373,entailment,entailment
374,entailment,entailment
375,entailment,entailment
376,entailment,entailment
377,entailment,entailment
378,entailment,entailment
379,entailment,entailment
380,entailment,entailment
381,entailment,entailment
382,entailment,entailment
383,entailment,entailment
384,entailment,entailment
385,entailment,entailment
386,entailment,entailment
387,entailment,entailment
388,entailment,entailment
389,entailment,entailment
